,Unnamed: 0,Unnamed: 0.1,date,title,main_content,ID
0,0,0,"14 February 2023
14 February 2023",turkey syria earthquakes send mobile homes affected areas,sending mobile homes used accommodation areas hit earthquakes turkey syria almost people believed died two quakes struck two countries week ago one million people left homeless turkey number could much higher syria aid organisations warned rescue operations beginning wind two countries qatari fund development government body responsible international development foreign aid tweeted videoexternal link first batch accommodation sent affected areas qatari official plans always intended temporary accommodations donated however view urgent needs turkey syria taken decision ship cabins caravans region providing much needed immediate support people turkey syria,0
1,2,2,23 January,gary neville ofcom pursuing complaints comments,ofcom pursuing complaints received itv viewers comments commentator gary neville final live unscripted remarks part wider discussion policies actions qatari government gave due weight range views broadcast regulator called qatari working conditions abhorrent itv match neville also criticised uk government ongoing strikes former england footballer working conditions accepted region accused uk ministers demonising rail workers nurses uk nurses taking strike action paid pittance ofcom added given guidance itv reminding due impartiality obligations itv assured us presenters studio guests reminded rules media watchdog received complaints viewers objected neville comments itv time gary neville expressing personal views context discussion treatment workers within live broadcast views endorsed itv december day last year prime minister rishi sunak audiences want hear neville discuss politics speaking daily mail prime minister argued chancellor exempted nhs workers public sector pay freeze come scrutiny treatment thousands migrant workers employed build stadiums hotels ahead asked country treatment workers neville abhorrent detest low pay detest low pay poor accommodation poor working conditions something never ever accept region region worth mentioning got current government country demonising rail workers ambulance workers terrifyingly nurses country got look workers rights certainly goes pick workers rights wherever go people equally treated added cannot people paid pittance work cannot people accommodation unsavoury disgusting cannot happen wealth exists happen country nurses fight extra pound two pounds recent years neville become outspoken critic conservative government describing former prime minister boris johnson calamity also joined labour appeared party recent annual conference ruled becoming politician addition providing punditry itv mr neville also worked qatari broadcaster bein decision attracted criticism defending move bbc got news programme last november got choice view highlight issues challenges countries speak basically say anything go prime minister wades gary neville row labour star guest gary neville endorses starmer strike daily week walkouts affect treat foreign workers controversial choice,2
2,3,3,5 January,drakeford regrets hotel freebie,mark drakeford says emphasised human rights meetings first minister regret accepting free five star hotel stay bbc revealed wednesday paid two ministers four officials stay ritz carlton mark drakeford take hospitality package security reasons could go meetings without way would chosen go unavoidable news hospitality package prompted concerns may undermined welsh government stance human rights amnesty international challenged ministers show raised issues criticised treatment lgbt people women migrant workers mr drakeford raised human rights concerns every conceivable opportunity country welsh government paid flights bbc freedom information request found paid mr drakeford economy minister vaughan gething four officials stay five star hotel two ministers attended separate games alongside two officials two separate trips lasting three nights mr drakeford trip came despite sir keir starmer decision stay away tournament uk government ministers also attended including welsh secretary david tc davies clear whether accepted package mr drakeford told bbc regret way possible discharge purposes went security regime surrounded games simply meant unless prepared accept arrangements ground would physical access places needed meetings needed attend way would chosen go unavoidable visit discharge purposes every meeting attended whether government ministers businesses arts organisations interviews local media issue human rights human values workers rights things covered every conceivable opportunity welsh government repeatedly defended trip saying tournament gave opportunity promote stage seek investment mr drakeford november difficult closely balanced decision go asked arrangements uk ministers foreign commonwealth office spokesperson major international event right uk government represented details visit published usual way drakeford criticised taking hospitality journey ends positive plaid leader says fm go,3
3,4,4,5 January,mark drakeford defends taking hospitality way,first minister mark drakeford says choice stay five star hotel paid qatari government tournament last year country criticised treatment migrant workers lack lgbtq rights mr drakeford could attend meetings planned prepared comply arrangements put place qataris every single meeting attended raised issues important people,4
4,6,6,19 December 2022,rishi sunak wades gary neville workers rights row,audiences want hear gary neville discuss politics rishi sunak ex england footballer attacked uk government speaking itv ahead final mr neville criticised qatari working conditions abhorrent conditions accepted region accused uk ministers demonising rail workers nurses uk nurses taking strike action paid pittance speaking daily mail prime minister argued chancellor exempted nhs workers public sector pay freeze responding mr neville comments think people tuning watch gary neville want hear watch want discuss politics come scrutiny treatment tens thousands migrant workers employed build stadiums hotels ahead asked country treatment workers mr neville abhorrent detest low pay detest low pay poor accommodation poor working conditions something never ever accept region region worth mentioning got current government country demonising rail workers ambulance workers terrifyingly nurses country got look workers rights certainly goes pick workers rights wherever go people equally treated cannot people paid pittance work cannot people accommodation unsavoury disgusting cannot happen wealth exists happen country nurses fight extra pound two pounds comments attracted criticism mps senior conservative simon clarke tweeting beyond ridiculous gary neville given free rein itv sport overtly politicise major sporting event quite apart fact every nurse receiving pay rise compare workers rights uk grotesque another conservative mp lee anderson described mr neville comments party political broadcast millionaire looks like itv banned list talk gary keep nose politics know talking hitting back twitter mr neville glad upset mr anderson described conservatives biggest set charlatans ever power asked mr neville comments itv broadcast prime minister spokesman clearly legitimate appropriate comparison way labour mp rushanara ali also questioned comparison telling bbc politics live different societies countries itv spokesman gary neville expressing personal views context discussion treatment workers within live broadcast views endorsed itv media regulator ofcom confirmed received complaints subject yet decided whether investigate recent years mr neville become outspoken critic conservative government describing former prime minister boris johnson calamity also joined labour appeared party recent annual conference ruled becoming politician addition providing punditry itv mr neville also worked qatari broadcaster bein decision attracted criticism defending move bbc got news programme got choice view highlight issues challenges countries speak basically say anything go labour star guest gary neville endorses starmer strike daily week walkouts affect treat foreign workers controversial choice,6
5,7,7,16 December 2022,refugee camp syrian players hoping make big,four syrian players living zaatari refugee camp given shot lifetime brazilian ngo viva rio chose players join black pearl academy rio de janeiro train play professionally ages young moved brazil leaving behind families loved ones four years later doha attending hoping find future professional gulf country story,7
6,9,9,"16 December 2022
16 December 2022",women feel safer,woman feels safer without alcohol stadiums like everyone drunk bete basica travelled sao paulo support brazil come souq waqif central marketplace doha buy souvenirs heads home huge fan ms basica writes game recently taken management course travelled tournament fondly remembers magical time home country hosted speaking bbc ms basica says experience different sometimes woman metro says get many looks read many things region dangerous women feel respected everyone problem decision hold controversial critics pointing country human rights record treatment migrant workers used build entire tournament infrastructure female workers spoke guardianexternal link harassment experienced hospitality industry qatari woman lives uk told bbc impact religious conservatism mental health marketplace souq waqif become fan central always buzzing part normally quiet doha vibe different one much crowded supporters flags teams playing given day tended take restaurants busy smell shisha hookah mixes chargrilled meat one thing wo find alcohol sale strictly limited controlled conservative muslim country two days opening ceremony announced alcohol would sold inside stadiums though specific areas fan zones drink argentina fan karen retamal says despite limited access friends able get drink every day since prefer dry stadiums especially group argentina live laughs lose prefer alcohol ms retamal remembers frustrated angry argentina lost saudi arabia opening group match game finished saudi kept coming us saying messi messi really sad angry ms retamal believes emotions exacerbated alcohol situation could tense however says generally felt ease moving around venues tournament contrast showpiece match last major men event played euro final held wembley disorder outside stadium broadcast around experienced told bbc unsafe felt review described national day shame england attempt avoid clashes local law enforcement number british police officers deployed act cultural interpreters law enforcement turkey pakistan also provided security start billed family friendly tournament evident matches parents children ages seen flags hands tears loses many lack alcohol stadiums contributed child friendly atmosphere jolanta bhandu polish watched games husband hamlesh two children ben maya prefer lack alcohol especially go stadium children says time crowd minority would prefer sober people stadium laughs francesca ramsey malta travelled husband love sports events says ms ramsey also went tournament brazil different feel need cover problem respect culture ms ramsey seems bit disappointed limited access alcohol like glass white wine possibly two three laughs adding see better behaviour stadiums used drink would liked glass wine stadium time want shout scream drink last minute alcohol ban raised questions decision making governing body sway lack host country local population seen country leadership staying true muslim rules norms vast majority people abide ban may made accessible many locals probably would opted otherwise despite crowds chosen stay away decision stage country homosexuality illegal heavily criticised transgender qatari woman told bbc news fear lives amnesty women face discrimination law practice external link needing guardian permission key life decisions one noticeable things number local women especially young ones stadiums qatari women residents lived lives salma ahmed says one reasons relatives felt comfortable go fact alcohol thinking going stadiums ban actually wanted go says huge fan great experience get latest results goal notifications downloading bbc sport app appleexternal link androidexternal link amazonexternal link get daily dose reaction debate analysis daily bbc sounds,9
7,10,10,14 December 2022,despair pride moroccans tournament run ends,watch celebrations les bleus moroccan left silent despair moroccan hopes becoming first african nation reach final ended despair side lost france supporters gathered across morocco europe host nation hoping could overcome former colonial rulers goals theo hernandez kylian mbappe seeing champions final lost proud fan casablanca told bbc large police presence central paris fixture france home hundreds thousands people moroccan heritage well moroccan flags colours north african countries waved supporters gathered champs elyses riot police seen european cities including brussels moroccan marked previous victories campaign letting flares fireworks hague netherlands weather defeat seemed curtail post match activities flares lit street match ended dutch moroccans told bbc trying keep peace fan zone mohammed v stadium casablanca one supporter semi final result ok adding game many watching believed side run beginning promising future morocco footballers oldest cafe casablanca became increasingly frustrated struggled score one supporter grew france born morocco wanted country win time africa lift moroccan also watching game large tent erected grounds madrid casa arabe cultural centre traditional moroccan snacks handed around cheered despite everything proud inas english teacher rif wore moroccan national shirt told bbc represented gave us symbolic victory many ways international attention respect gave us munir petrol station attendant originally casablanca chanting group friends throughout game although upset france second goal went still upbeat lifetime event moroccan reaching semi finals even children witness meant everything us cricklewood area north west london uk moroccan supporters gave huge cheer final whistle blew felt immense pride performed freezing conditions moroccan nationals watched blankets drinking tea smoking shisha tunisians algerians egyptians cafe prego one nation one fan believes tournament best ever united london arab diaspora reporting camilla mills mayeni jones anna holligan ian williams rob corp france end morocco dream set argentina final dancing mums moroccan maldini meet history makers regragui reaping rewards moroccan investment morocco historic journey semi finals,10
8,11,11,14 December 2022,finally smiles back arabs,roars ecstatic car horns ringing buildings draped red green atmosphere doha morocco historic win portugal quarter finals enchanting finally smiles back arabs one morocco supporter told bbc match atmosphere gave clues reception get face france semi final wednesday night whenever moroccan player touched ball whole crowd cheered sir means go arabic december morocco became first arab african country make semi finals witness never thought would get attend let alone one held arab country growing middle east tournament always felt reach expensive always meant lot every four years watched games surrounded family either hometown aleppo syria spent summers riyadh saudi arabia grew cafes would draped flags different countries brawls would erupt groups supporting countries probably never even visited thousands miles away action atmosphere always memorable opportunity cover historic event could hold back excitement stranger gulf region born raised saudi arabia parents moved syria early due political unrest search better economic opportunities often used visit uncle cousins holidays although child distinctly remember sheraton hotel building pyramid shape main landmark doha corniche today sheraton dwarfed sea high rise buildings even though last visit doha still find unable recognise many parts years country built seven stadiums new city outskirts doha rolled new metro system atmosphere welcoming doha scores international visitors learned say simple arabic phrases croatia argentina wore traditional qatari male clothing done colours national teams huge presence arab supporters made special arab get chance witness first tournament arab country honour one saudi fan told three arab countries qualified tournament year morocco tunisia saudi arabia rushed doha cheer even year old tunisian woman made way old woman want sitting home told qatari tv channel first trip souq waqif traditional style market heart doha saw parade arab flood alleyways courtyards knew chanting tunisian moroccan supporters one thing get another win games arab hearts used broken time different morocco made history saudi arabia achieved one biggest upsets history beating argentina tunisia reigning champions france going home thing given us much hope happiness delighted fan told saturday night celebrations continued late night souq waqif tournament overshadowed controversy especially focused contentious records migrant workers rights country made reforms recently admitted workers died total projects linked however human rights groups say far true figure long standing debate whether sports mixed politics hosted controversial countries like russia scrutinised human rights record stance lgbt issues however tournament controversial one many qataris foreign residents doha told frustrated call avalanche negative coverage western media outlets ask whether arab muslim country mashael al salem qatari woman engineer entrepreneur told time tournament came middle east attacks received unprecedented west wrong idea us arab muslims many changed minds came find looking media coverage asking different question tournament set new standard scrutiny sporting events human rights see debate next usa canada mexico know watching along millions across middle east,11
9,13,13,14 December 2022,morocco heartbreak doha flights cancelled,hundreds moroccan left devastated last minute flight cancellations look set stop travelling wednesday semi final morocco national airliner royal air maroc planned run seven additional flights ahead game made decision morocco fa promised give free tickets clash france wednesday qatari officials blocked flights following latest restrictions imposed qatari authorities royal air maroc regrets inform customers cancellation flights operated airways airline statement reuters news agency unclear qatari officials ordered airline stop flights government central communications office yet respond bbc request comment post social media channels monday airline offered lay additional flights part exceptional flight schedule help get affiliated travel agencies later would seven extra flights cancellations left number already booked tickets hotel rooms pocket airline offered full apology would reimburse passengers meanwhile number moroccan expatriates arriving attracted promise free tickets country fa around five million moroccans estimated live around many france arrived fan centres al janoub stadium many covering heads moroccan flags caps protect heat left angered free tickets promised fa failed materialise one supporter zineb nfati told bbc travelled paris game unable find ticket symbolic game morocco france half french half moroccan problem reliable sources reliable information ms nfati came brother know heartbroken clash first time african side reached stage biggest competition though french rivals heavily tipped pundits advance final argentina morocco coach walid regragui grew paris says side confident want wait another years african shine stage moment morocco made history,13
