,unwanted_links
0,https://www.aljazeera.com/program/between-us/2022/12/6/world-cup-inside-qatar
1,https://www.aljazeera.com/sports/2022/12/6/which-teams-have-reached-the-world-cup-quarter-finals
2,https://www.aljazeera.com/features/longform/2022/12/5/zhen-kitchen-a-chinese-familys-restaurant-legacy-in-doha
3,https://www.aljazeera.com/sports/2022/12/3/the-five-most-infamous-world-cup-penalty-shoot-outs
4,https://aljazeera.com/wc2022experience/?utm_source=www.aljazeera.com&utm_medium=website&utm_campaign=ucms
5,https://www.aljazeera.com/sports/2022/11/17/football-penalty-kicks-explained
6,https://www.aljazeera.com/features/longform/2022/11/7/authentic-desi-food-in-doha-the-story-of-punjab-2
7,https://interactive.aljazeera.com/aje/2022/qatar-football-world-cup-2022-quiz/?utm_source=www.aljazeera.com&utm_medium=website&utm_campaign=ucms
8,https://www.aljazeera.com/sports/2022/10/19/host-qatars-world-cup-carbon-neutral-claims-under-fire
9,https://www.aljazeera.com/sports/2022/10/11/fifa-world-cup-1930
10,https://interactive.aljazeera.com/aje/2022/visit-qatar-2022-football-world-cup/?utm_source=aljazeera.com&utm_medium=section_page&utm_campaign=world_cup_2022
11,https://www.aljazeera.com/program/newsfeed/2022/7/19/no-pitch-no-problem-young-senegalese-footballers-train-on-roofs
12,https://interactive.aljazeera.com/aje/2021/fifa-arab-cup-2021/index.html?utm_source=www.aljazeera.com&utm_medium=website&utm_campaign=ucms
