,Entity Name,Entity Type,Frequency
91,supreme committee,ORG,44
134,al bayt stadium,Stadium,24
147,al thumama,Stadium,23
148,bbc,media outlet,23
156,bin hamad al thani,PERSON,20
158,gianni infantino,PERSON,20
176,halla mohieddeen,PERSON,18
195,congress,ORG,15
213,julian alvarez,PERSON,13
229,karak,PERSON,11
234,euro,ORG,11
243,melli,PERSON,10
245,samuel eto,PERSON,10
246,ghana,PERSON,10
251,fbi,ORG,10
252,gmt al,PERSON,10
256,manchester united,PERSON,10
259,al hilal,PERSON,9
270,jay harris,PERSON,9
271,al marri,PERSON,9
