"names","values"
"migrant",194.675442753491
"qatar",56.184917386292
"job",47.0238308648131
"treatment",39.9565641968766
"employer",38.2942223343871
"law",35.2424014226453
"qatar's",33.7181337433012
"change",30.7004505594596
"improve",27.3670946473412
"condition",24.7940465691627
"abuse",20.85066629834
"report",20.8123505212388
"ensure",20.5908518079377
"ilo",19.2623673305334
"protect",18.825679843434
"country",16.7537477191036
"foreign",16.3425357023807
"committee",16.2430198254897
"india",15.6170422693631
"bangladesh",15.6170422693631
"protection",15.6170422693631
"complaint",15.6170422693631
"system",15.3697056899164
"labour",15.116343812595
"death",14.9109727545674
"construction",14.9109727545674
"amnesty",14.4692831280609
"introduce",13.7247347722405
"salary",12.2272457886284
"fan",11.9647870317258
"live",11.9581087539209
"leave",11.5350547754297
"stadium",11.5069420710042
"call",10.8662318393726
"build",10.8234816354179
"record",10.8160364521664
"company",10.289841422913
"qatari",10.1884213400444
"project",10.067878148724
"work",10.0055339304436
"football",9.81263938950542
"wage",9.15643170502517
"protest",8.92946993312034
"human",8.82683395369713
"award",8.66487571303878
"group",8.3085280081068
"kafala",8.26753148994976
"host",7.75807641465144
"include",7.62983116916985
"jazeera",7.58960012506941
"year",7.52937058381758
"game",7.24439520169653
"people",7.00213422130582
"heat",6.98332675592428
"government",6.96704298586155
"publish",6.40972859439171
"organiser",5.65533967865122
"international",5.64797555532641
"doha",5.63681963055569
"add",5.62095333695834
"reform",5.45715997791558
"body",5.2073263538914
"face",4.72983554924213
"gulf",4.53957330911908
"play",4.49957040667687
"pay",4.40129396035809
"million",4.35774067053899
"force",3.87674350304587
"team",3.8683005837338
"month",3.74968466463179
"travel",3.74599883680457
"interview",3.74599883680457
"minimum",3.74599883680457
"bbc",3.74599883680457
"follow",3.40821330313702
"back",3.21987356910176
"football's",3.10333507429095
"summer",3.10333507429095
"provide",2.75654581835079
"criticism",2.75654581835079
"time",2.66963794074582
"letter",2.56562472387668
"cup",2.34574035769037
"feel",2.26172737889465
"run",2.11203883495364
"organisation",2.11203883495364
"al",2.09884950585911
"statement",2.09884950585911
"make",1.89407005413341
"president",1.82085227123753
"world",1.72672709682047
"tournament",1.68894982660277
"effort",1.47680113571732
"wednesday",1.47680113571732
"lead",1.45510218453637
"thousand",1.40058088238584
"accord",1.40058088238584
"economic",1.38675599325688
"country's",1.38675599325688
"nation",1.18538847839045
"european",1.18538847839045
"percent",1.12306863419872
"supreme",1.12306863419872
"response",1.12306863419872
"govern",1.12266386474039
"plan",0.992711521641468
"german",0.992711521641468
"announce",0.838253070982319
"day",0.821435842080973
"hope",0.809920241545115
"side",0.809920241545115
"set",0.609591077647565
"recent",0.609591077647565
"process",0.609591077647565
"hour",0.550847646218244
"continue",0.550847646218244
"celebrate",0.480252712761285
"bring",0.480252712761285
"decision",0.480252712761285
"send",0.480252712761285
"open",0.480252712761285
"western",0.480252712761285
"state",0.452881742130558
"sport",0.436251265198734
"home",0.430653425632045
"concern",0.427598145231968
"minister",0.382030098742689
"penalty",0.337565037152672
"official",0.337565037152672
"white",0.337565037152672
"street",0.337565037152672
"turn",0.337565037152672
"case",0.337565037152672
"unite",0.321925912394363
"boycott",0.285029111466429
"end",0.256638491726335
"part",0.256638491726335
"week",0.225940956210252
"begin",0.213478855881476
"release",0.213478855881476
"power",0.213478855881476
"high",0.213478855881476
"footballer",0.213478855881476
"federation",0.213478855881476
"denmark",0.213478855881476
"numb",0.189034158122013
"address",0.189034158122013
"major",0.189034158122013
"action",0.189034158122013
"commit",0.189034158122013
"good",0.118662194952776
"issue",0.1084977590981
"fifa",0.108059945565401
"give",0.0966661615766498
"progress",0.0966661615766498
"medium",0.0881964438049181
"gather",0.0881964438049181
"remain",0.0881964438049181
"member",0.0881964438049181
"late",0.0310866280451592
"event",0.0310866280451592
"watch",0.0283047761731723
"stage",0.0283047761731723
"ban",0.0283047761731723
"early",0.0230981801250891
"support",0.00686418565055646
"family",0.00222212607877736
"long",0.00222212607877736
"community",0.00222212607877736
"social",0.000103308921097778
"place",0.000103308921097778
"buenos",NA
"aires",NA
"argentina",NA
"sunday",NA
"flag",NA
"city",NA
"victory",NA
"argentina's",NA
"win",NA
"france",NA
"joy",NA
"national",NA
"lionel",NA
"messi",NA
"trophy",NA
"diego",NA
"maradona",NA
"de",NA
"obelisk",NA
"sing",NA
"argentinian",NA
"final",NA
"french",NA
"goal",NA
"bus",NA
"jersey",NA
"match",NA
"start",NA
"pitch",NA
"show",NA
"la",NA
"germany",NA
"supporter",NA
"player",NA
"wear",NA
"hold",NA
"club",NA
"shirt",NA
"december",NA
"association",NA
"armband",NA
"captain",NA
"ozil",NA
"campaign",NA
