,Entity Name,Entity Type,Frequency
55,supreme committee,ORG,205
86,bbc,media outlet,148
103,michael garcia,PERSON,107
128,david beckham,PERSON,74
140,fbi,ORG,69
172,jack warner,PERSON,55
183,gianni infantino,PERSON,50
190,itv,media outlet,48
200,al bayt stadium,Stadium,44
213,bin hamad al thani,PERSON,39
287,nicolas sarkozy,PERSON,27
288,gary lineker,PERSON,26
293,al jazeera,media outlet,26
294,hakim ziyech,PERSON,25
306,david cameron,PERSON,23
308,vladimir putin,PERSON,23
309,steve clarke,PERSON,23
316,fox,media outlet,22
317,al wakrah,PERSON,22
324,john herdman,PERSON,21
