"names","values"
"migrant",34.9943062845846
"job",18.2771553236389
"leave",11.5233844225863
"condition",7.22334367014537
"employer",6.6703492915185
"issue",6.60760125519482
"law",5.91559127901019
"year",5.09929401317822
"country",4.70306060255825
"change",4.15762482329137
"foreign",4.08731157567036
"month",3.82888358970831
"ilo",3.75679976538549
"complaint",3.02575263920426
"time",2.53299672741105
"statement",2.02017951660309
"add",1.79237267827739
"labour",1.29540578809906
"qatar",1.18081915784069
"host",1.1668672755477
"wage",1.14385508275154
"abuse",1.14385508275154
"ensure",1.14131447003592
"reform",0.782043252893345
"cup",0.781341823892717
"report",0.773294530010844
"qatar's",0.759394338327184
"qatari",0.718599628673473
"jazeera",0.64366737576438
"salary",0.64366737576438
"include",0.582340545476654
"world",0.432417612237259
"international",0.380181947858546
"company",0.347971805178531
"system",0.306332536103582
"government",0.290047181706996
"make",0.160790865289528
"al",0.134774106182704
"amnesty",0.092825705575251
"stadium",0.0484948101502596
"committee",0.043566330950398
"state",0.0205315882585637
"gulf",0.0205315882585637
"fifa",0.0148912359873066
"work",0.00333039566112348
"pay",0.0015553403877675
