"names","values"
"hat",61.4797222060952
"rainbow",39.8581267667651
"mcallister",27.8996586405192
"captain",16.2933512956552
"wall",14.3397601350807
"report",12.7414113224622
"ahead",6.96112436437033
"stadium",6.63418851907772
"wale",5.44285796668919
"security",5.27081105538309
"woman",4.74876349487749
"supporter",4.16687733319486
"group",3.91378817987606
"show",3.46665759572716
"game",2.59803164955156
"friend",2.574413524384
"faw",2.574413524384
"footballer",2.574413524384
"brown",2.574413524384
"open",2.39727268916977
"armband",2.39727268916977
"lgbtq",2.38821904758697
"qatari",2.32239911199395
"start",2.23841778539827
"fifa",2.0204592395603
"member",1.96405081522244
"authority",1.84434884474467
"love",1.84434884474467
"staff",1.73421432602481
"sport",1.29169892432765
"state",1.29169892432765
"gay",1.21459450636576
"team",0.972451697802171
"match",0.972451697802171
"fan",0.785478256091665
"support",0.732178600144834
"attend",0.691287917768932
"football",0.652711634136722
"include",0.652435889558546
"feel",0.615500245428848
"official",0.377396391608272
"bbc",0.30949063798289
"qatar",0.21172317444325
"people",0.0230395539092569
"cup",0.00936540732436697
"country",0.00928127717816096
"world",0.00327042757817253
"mark",NA
"drakeford",NA
"human",NA
"minister",NA
"accept",NA
"hotel",NA
"stay",NA
"choose",NA
"concern",NA
"welsh",NA
"stance",NA
"amnesty",NA
"international",NA
"raise",NA
"issue",NA
"criticise",NA
"treatment",NA
"lgbt",NA
"migrant",NA
"worker",NA
"mr",NA
"opportunity",NA
"government",NA
"decision",NA
"tournament",NA
"uk",NA
"secretary",NA
"place",NA
"visit",NA
"organisation",NA
"local",NA
"thing",NA
"give",NA
"promote",NA
"november",NA
"foreign",NA
"event",NA
"leader",NA
"choice",NA
"year",NA
"plan",NA
"put",NA
"important",NA
"university",NA
"doha",NA
"country's",NA
"record",NA
"equality",NA
"speak",NA
"good",NA
"community",NA
"hold",NA
"focus",NA
"middle",NA
"homosexuality",NA
"illegal",NA
"question",NA
"continue",NA
"face",NA
"discrimination",NA
"law",NA
"build",NA
"expect",NA
"work",NA
"ensure",NA
"east",NA
"add",NA
"controversial",NA
"host",NA
"same-sex",NA
"relationship",NA
"live",NA
"life",NA
"change",NA
"message",NA
"safety",NA
"travel",NA
"call",NA
"arrest",NA
"time",NA
"prison",NA
"death",NA
"happen",NA
"police",NA
"month",NA
"watch",NA
"day",NA
"wear",NA
"send",NA
"man",NA
"leave",NA
"boycott",NA
"qatar's",NA
"executive",NA
"make",NA
"safe",NA
"england",NA
"long",NA
"respect",NA
"back",NA
"part",NA
"award",NA
"compromise",NA
"abuse",NA
"week",NA
"risk",NA
"advice",NA
"follow",NA
"british",NA
"gas",NA
"gulf",NA
"nation",NA
"big",NA
"play",NA
"james",NA
"cleverly",NA
"ms",NA
"comment",NA
"light",NA
"alcohol",NA
"culture",NA
"national",NA
"player",NA
"organiser",NA
"ambassador",NA
"protest",NA
"shine",NA
"final",NA
"visitor",NA
"kane",NA
"labour",NA
"announce",NA
"proud",NA
"club",NA
